Weeks,Topic,Date
Week 01,	Introduction Installations IDEs Command line,	September 09 - 2025
Week 02,	Version Contro  Workflow and Reproducibility: Or a bit of Git & GitHub,	September 16- 2025
Week 03,	Intro to Python - OOP Data Types Control Statements and Functions,	September 23- 2025
Week 04,	Python II: Control Statements Comprehensions  Nested Lists and Numpy,	September 30 - 2025
Week 05,	Numpy and Intro to Pandas,	October 07 - 2025
Week 06,	Pandas II: Data Wrangling,	October 14 - 2025
Week 07,	Joining  Tidying and Visualizing Data,	October 21 - 2025
Week 08,	Scraping + APIs,	October 28 - 2025
Week 09,	Statistical Learning,	November 04 - 2025
Week 10,	Text as Data I: Discovery and Topics,	November 11 - 2025
Week 11,	Text as Data II: Supervised Learning,	November 18 - 2025
Week 12,	Generative AI: Classification, Surveys and Prompting, November 25 - 2025
Week 13,	SQL,	December 03 - 2025
Week 14,	Presentations of Final Projects,	December 09- 2025
